cmdline:'/home/user/deepstate/kdl222_cs49.....--no_fork --min_log_level 2', bin:'/home/user/deepstate/kdl222_cs499_sp20/assignment2/starRuler/string_H' inputDir:'/tmp/deepstate_fake_seedav8u1rm3', fuzzStdin:false, mutationsPerRun:6, timeout:10, mutationsMax:0, threadsMax:1
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/252/7/3426, Tot:0/0/0/252/7/3426
Entering phase 2/3: Switching to the Feedback Driven Mode
Entering phase 3/3: Dynamic Main (Feedback Driven Mode)
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/1/0/1, Tot:0/0/0/253/7/3427
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/6, Tot:0/0/0/253/7/3433
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/8, Tot:0/0/0/253/7/3441
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/253/7/3442
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/9, Tot:0/0/0/253/7/3451
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/253/7/3452
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/253/7/3453
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/253/7/3454
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/253/7/3455
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/253/7/3456
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/1/0/4, Tot:0/0/0/254/7/3460
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/254/7/3461
Size:6 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/254/7/3462
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/254/7/3463
Size:7 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/254/7/3464
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/254/7/3465
Size:18 (i,b,hw,ed,ip,cmp): 0/0/0/5/0/92, Tot:0/0/0/259/7/3557
Size:4759 (i,b,hw,ed,ip,cmp): 0/0/0/35/2/205, Tot:0/0/0/294/9/3762
Size:18 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/294/9/3763
Size:4649 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/294/9/3765
Size:18 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/294/9/3766
Size:4651 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/294/9/3768
Size:7951 (i,b,hw,ed,ip,cmp): 0/0/0/52/3/328, Tot:0/0/0/346/12/4096
Size:4651 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/346/12/4098
Size:7968 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/346/12/4109
Size:3019 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/346/12/4111
Size:4811 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/346/12/4122
Size:3139 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/346/12/4124
Size:4811 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/346/12/4135
Size:630 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/346/12/4137
Size:4811 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/346/12/4148
Size:868 (i,b,hw,ed,ip,cmp): 0/0/0/1/0/14, Tot:0/0/0/347/12/4162
Size:4803 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/347/12/4173
Size:469 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/8, Tot:0/0/0/347/12/4181
Size:354 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/347/12/4192
Size:469 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/12, Tot:0/0/0/347/12/4204
Size:354 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/12, Tot:0/0/0/347/12/4216
Size:527 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/10, Tot:0/0/0/347/12/4226
Size:425 (i,b,hw,ed,ip,cmp): 0/0/0/1/0/4, Tot:0/0/0/348/12/4230
Size:602 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/21, Tot:0/0/0/348/12/4251
Size:425 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/3, Tot:0/0/0/348/12/4254
Size:535 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/21, Tot:0/0/0/348/12/4275
Size:489 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/3, Tot:0/0/0/348/12/4278
